Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2018-12-28;3,4804;3,4883;3,2772;3,3047;;
2018-12-27;3,4039;3,5414;3,3179;3,4772;;
2018-12-21;3,6215;3,7505;3,4814;3,6503;;
2018-12-20;3,6685;3,7557;3,4998;3,6366;;
2018-12-19;3,7639;3,8128;3,443;3,6578;;
2018-12-18;3,5252;3,7722;3,4345;3,7363;;
2018-12-17;3,6202;3,6522;3,4285;3,5267;;
2018-12-14;4,0259;4,0502;3,7564;3,7932;;
2018-12-13;4,0843;4,1905;3,9445;4,1401;;
2018-12-12;4,3932;4,4024;4,0248;4,1123;;
2018-12-11;4,5267;4,5912;4,159;4,3769;;
2018-12-10;4,5814;4,621;4,2985;4,5235;;
2018-12-07;4,2732;4,5337;4,091;4,5162;;
2018-12-06;4,4789;4,4833;4,1212;4,3788;;
2018-12-05;4,5938;4,5938;4,2121;4,4536;;
2018-12-04;4,4121;4,4952;4,1331;4,4952;;
2018-12-03;4,4981;4,531;4,0783;4,3527;;
2018-11-30;4,6421;4,6746;4,2637;4,3234;;
2018-11-29;4,6059;4,6574;4,2811;4,5882;;
2018-11-28;4,2427;4,7139;4,056;4,6724;;
2018-11-27;4,1431;4,342;3,9691;4,2096;;
2018-11-26;4,1346;4,3021;3,9261;4,2552;;
2018-11-23;4,259;4,53;4,0493;4,0493;;
2018-11-22;4,5334;4,5402;3,874;3,874;;
2018-11-21;4,6602;4,8289;4,3106;4,4945;;
2018-11-20;4,4668;4,5959;4,1642;4,5439;;
2018-11-19;4,643;4,7757;4,4405;4,5876;;
2018-11-16;4,0295;4,3828;3,9337;4,3624;;
2018-11-15;4,7169;4,744;3,961;4,0393;;
2018-11-14;4,0774;4,8946;4,0707;4,8725;;
2018-11-13;3,968;4,12;3,9344;4,0924;;
2018-11-12;3,7853;3,9046;3,7433;3,893;;
2018-11-09;3,5833;3,8127;3,5664;3,734;;
2018-11-08;3,5331;3,5795;3,4901;3,5527;;
